motion_congruent,motion_incongruent,motion_no,snd_congruent,snd_incongruent,snd_no
0.00144975365853191,0.00142061859830878,0.00154750255650959,0.00240087212450282,0.00229782632051413,0.00223685680180395
0.00151002886840986,0.00160476875568817,0.00158093674637851,0.00206659015113205,0.00180886635309247,0.00188725203625926
0.001586261395832,0.00157211593688496,0.00148393972244324,0.00213264514371854,0.00221975491393379,0.00212054832579505
0.00151917967744301,0.00138218931734567,0.00142697217019059,0.00173474640618125,0.00168114346313692,0.00165629509071653
0.00140583140932849,0.0013651909535028,0.00140407777249857,0.00140816064059054,0.00143697929019078,0.00138234775634949
0.00166777452155549,0.00161859366255471,0.00160495734793387,0.00211300501584524,0.0022432364707698,0.0021365215892342
0.00139854152551029,0.00140062483917734,0.00140066076811895,0.00204339945068595,0.00172672039717933,0.00177373562418465
0.00145494917702951,0.00139850388716783,0.00141513735258936,0.00176452185851649,0.00168556723461635,0.00179394131353209
0.0014746890512811,0.00143713267500953,0.00141579895840042,0.00155622888347077,0.0015477602348666,0.0015401865535928
0.00135816964064203,0.00134567296698052,0.00137449538998011,0.00168370720872446,0.0014614741071267,0.00168101670786859
0.00142738085269631,0.00146727847634703,0.0015859828868855,0.00242363813092371,0.00231818733912886,0.00243347878188042
0.00158497420585801,0.00174748232312125,0.00167018877496155,0.00216499631989953,0.00211798070161693,0.00213771070116612
0.00163586196462538,0.00155315045413869,0.00157388406417039,0.00204465738879656,0.00197931120807123,0.00214344526841213
0.00146142740752596,0.00150214466392584,0.00150597713804398,0.00172224272365184,0.00167397611199566,0.0015372573644629
0.00157045828559059,0.00155711344564806,0.00152925867717784,0.00163372819406264,0.00169024358734392,0.00165889486501714
0.00134861327189553,0.00133643254462514,0.00130958836271911,0.00153104822279332,0.00122861126104935,0.00158271038044147
0.0013842610033475,0.00149778146709429,0.00142151278088216,0.00152067077973162,0.00164062447825664,0.00147704349311866
0.00123573699269055,0.0012063992655865,0.00120573975903209,0.00138191178422287,0.00104014127971179,0.0013684361783273
0.00113098450550862,0.00115503132881812,0.0012631907628382,0.00155243410224151,0.00142395057782248,0.00146488161830651
0.00149103675942625,0.00147750208319884,0.00143983666867189,0.0019858876770998,0.00195534066372564,0.00201184399774624
0.00167004728219788,0.00171634910624655,0.0017185471720852,0.00252811719100885,0.00251822793816982,0.0025282660868352
0.00153159495437251,0.0014184248498249,0.00152113018837074,0.00150662220318089,0.00112484940480698,0.00134985939204185
0.00142932938370588,0.00144340305700135,0.00135056850558279,0.00143858006447764,0.00131445227471131,0.00139498252692611
0.00168674307755395,0.00164449384806057,0.00164120621291519,0.00161728173047921,0.00160540418423254,0.0016042746117892
0.00167164627341574,0.0016399576455692,0.00160253728733969,0.0018033381526936,0.00166969128202615,0.00181993820298536
0.00143396813822084,0.00154859815753202,0.0014138539778611,0.00175582061967034,0.00185547731975554,0.00167794109431707
0.00154050949855739,0.00148209776192786,0.00145628969225632,0.00173020157355707,0.00189887293009292,0.00171945123343464
0.00146339791630166,0.0014732214586773,0.00141617945467565,0.0017245086151753,0.0016272261581806,0.00168714404566255
0.00144337717956227,0.00147023922472469,0.0014070651336874,0.00217692410404506,0.00211395423380664,0.00212735486286229
0.00162017908529411,0.0015052064505509,0.00154020994197588,0.00222523535821741,0.00215146446764798,0.00221301368872183
