motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
656.043777777778,637.537142857143,615.307730769231,679.25262962963,651.228962962963,654.516642857143,422.61175,437.881586206897,445.973172413793,403.703074074074,385.6157,433.619533333333
581.634357142857,590.754066666667,619.4845,637.312607142857,635.869807692308,646.150066666667,474.522793103448,554.588448275862,495.0294,551.087517241379,445.282851851852,475.366821428571
624.626482758621,646.5661,669.334,625.939066666667,615.410655172414,633.259071428571,464.932214285714,438.626,469.144655172414,432.166148148148,428.139857142857,474.032965517241
666.37375862069,718.586333333333,698.499068965517,728.460833333333,650.3219,703.084965517241,601.626551724138,626.715862068965,634.388344827586,566.037466666667,553.301733333333,575.947733333333
683.926833333333,705.188214285715,704.47675862069,710.8037,716.305071428572,720.117482758621,694.56824,625.508444444445,761.624571428571,675.42837037037,653.410655172414,624.10337037037
595.685466666666,595.714206896552,600.567655172414,598.854892857143,563.331285714286,561.01344,530.545172413793,480.880310344828,576.659233333333,403.833066666667,415.976,393.86875862069
717.6134,714.864266666667,735.594068965517,689.303034482759,712.466344827586,693.540866666666,529.006533333333,593.055448275862,578.160928571429,548.406793103448,455.2774,517.288517241379
674.639172413793,668.527357142857,695.590033333334,690.824037037037,654.464896551724,670.186925925926,618.5149,618.151066666667,612.446689655172,551.307655172414,522.939310344828,494.436535714286
652.782551724138,675.154444444444,709.095551724138,670.301666666667,681.964103448276,680.10424137931,656.631928571428,715.413444444445,662.275642857143,572.197434782609,608.995166666667,598.41152173913
746.969965517241,737.486233333333,729.110275862069,748.845793103448,701.704785714286,725.975928571429,598.729896551724,624.602035714286,633.424,678.641740740741,569.561464285714,544.681266666667
634.009615384615,596.251565217391,610.671740740741,627.808896551724,604.919888888889,608.422689655172,387.9465,433.564464285714,465.559535714286,401.640689655172,424.534034482759,367.781655172414
550.016481481481,544.502482758621,586.564357142857,562.782714285714,565.7275,571.692866666667,444.123,455.958233333333,452.230785714286,456.894142857143,433.264107142857,437.093551724138
565.557448275862,583.975846153846,596.734866666667,575.027962962963,554.24128,588.775307692308,523.339076923077,488.651962962963,486.311862068966,440.912785714286,397.268655172414,448.3105
701.658966666667,662.104517241379,695.736931034483,669.364758620689,667.707833333333,635.070068965517,631.605896551724,629.5121,587.402964285714,549.423357142857,519.372689655172,628.253535714286
629.007433333334,638.731033333333,671.274066666667,624.210586206897,601.719535714286,616.177172413793,622.253866666667,615.3439,629.0317,569.677333333333,602.266233333333,578.688724137931
663.399035714286,680.651481481482,701.21324,640.223,671.99725,722.948892857143,708.535068965517,729.63604,681.691433333333,682.728807692308,569.371275862069,588.761233333333
678.566344827586,640.311866666667,707.168172413793,697.435689655172,719.272827586207,676.494607142857,685.4763,634.287793103448,749.722466666667,586.621206896552,631.910766666666,617.184866666667
872.799333333334,856.986413793104,934.223266666667,802.620466666667,754.298413793104,720.816607142857,839.858433333333,1102.61796551724,770.440379310345,852.260533333333,635.668620689655,694.968862068965
772.071344827586,746.703827586207,785.783428571428,787.8015,749.042142857143,771.493766666667,719.704379310345,738.1426,778.9186,647.401178571429,582.951413793104,607.5585
660.5944,672.292466666667,677.1229,681.404866666667,681.066533333333,689.080034482758,491.313,484.500035714286,478.352071428571,487.158285714286,498.937666666667,482.068964285714
581.686966666667,569.316379310345,576.171034482759,596.585517241379,616.919566666667,587.717206896552,382.388586206897,393.061586206897,391.4664,401.231733333333,409.652466666667,386.35225
683.377517241379,714.2644,675.249586206897,672.787678571429,625.050827586207,640.481034482759,720.668620689655,859.12268,822.447965517241,800.506962962963,615.140793103448,656.010517241379
691.699379310345,683.722966666667,747.282214285714,702.136034482759,684.399689655172,710.449,740.091413793103,805.069310344827,783.200857142857,697.060689655172,655.318433333333,642.791766666667
608.523620689655,618.785166666667,603.263214285715,577.832689655172,577.9797,576.278766666667,645.276733333333,660.651827586207,647.695724137931,572.211033333333,593.5279,582.7238
612.4518,611.442275862069,651.0033,608.110517241379,584.620620689655,599.1669,589.826379310345,577.046428571429,580.4655,600.894666666667,523.214466666667,521.615448275862
629.551333333333,637.775633333333,672.150482758621,653.916689655172,651.29432,671.686107142857,549.974413793103,532.194222222222,605.740233333333,474.499615384615,531.483037037037,566.95675862069
621.3847,651.704678571429,686.439827586207,675.262266666667,679.4817,664.740166666667,582.048310344828,542.477586206896,581.313793103448,479.545357142857,537.155892857143,544.293517241379
678.083321428571,685.910137931035,718.712551724138,650.565931034483,643.925448275862,672.3316,592.8515,628.88612,656.605034482759,532.948366666667,533.41724137931,525.743366666667
674.0362,661.077733333333,690.802206896552,630.341692307692,665.167892857143,636.13637037037,455.768137931034,475.746275862069,471.5227,454.699172413793,447.582642857143,421.758807692308
616.294137931034,651.0245,657.010137931035,633.037714285714,597.535392857143,621.462233333333,455.453206896552,515.3298,537.053766666667,423.294033333333,415.227214285714,390.013103448276
